region,median,lower_90,upper_90,lower_50,upper_50,confidence
Baden-Wurttemberg,1,1,1,1,1,1
Baden-Wurttemberg,1,0,1,1,1,1
Baden-Wurttemberg,1,0,1,1,1,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,1,0,0,1
Baden-Wurttemberg,0,0,2,0,0,1
Baden-Wurttemberg,1,0,2,0,1,1
Baden-Wurttemberg,1,0,2,0,1,1
Baden-Wurttemberg,1,0,2,0,1,1
Baden-Wurttemberg,1,0,3,0,1,1
Baden-Wurttemberg,1,0,3,0,1,1
Baden-Wurttemberg,1,0,4,0,1,1
Baden-Wurttemberg,1,0,5,0,1,1
Baden-Wurttemberg,2,0,6,0,2,1
Baden-Wurttemberg,2,0,7,0,2,1
Baden-Wurttemberg,3,0,8,0,3,1
Baden-Wurttemberg,4,0,11,1,4,1
Baden-Wurttemberg,5,0,13,2,6,1
Baden-Wurttemberg,6,0,16,2,7,1
Baden-Wurttemberg,8,1,18,3,9,1
Baden-Wurttemberg,11,1,23,3,11,1
Baden-Wurttemberg,14,2,28,7,16,1
Baden-Wurttemberg,17,4,33,7,18,1
Baden-Wurttemberg,22,5,41,11,24,1
Baden-Wurttemberg,27,7,50,12,28,1
Baden-Wurttemberg,33,13,59,19,37,1
Baden-Wurttemberg,42,17,71,27,48,1
Baden-Wurttemberg,52,24,87,31,56,1
Baden-Wurttemberg,63,31,103,42,70,1
Baden-Wurttemberg,78,43,123,51,84,1
Baden-Wurttemberg,92,53,145,66,102,1
Baden-Wurttemberg,112,66,168,82,122,1
Baden-Wurttemberg,132,78,194,97,144,1
Baden-Wurttemberg,157.5,100,226,123,172,1
Baden-Wurttemberg,184,114,254,145,204,1
Baden-Wurttemberg,217,145,293,179,241,1
Baden-Wurttemberg,252,184,346,207,273,1
Baden-Wurttemberg,295,210,382,262,335,1
Baden-Wurttemberg,339,253,433,301,378,1
Baden-Wurttemberg,389,300,480,332,408,1
Baden-Wurttemberg,439,337,524,401,479,1
Baden-Wurttemberg,493,396,589,445,520,1
Baden-Wurttemberg,544,450,633,491,570,1
