region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Alabama,2020-01-30,1,1,1,1,1,1
Alabama,2020-01-31,0,0,1,0,0,1
Alabama,2020-02-01,0,0,1,0,0,1
Alabama,2020-02-02,0,0,1,0,0,1
Alabama,2020-02-03,0,0,2,0,0,1
Alabama,2020-02-04,0,0,1,0,0,1
Alabama,2020-02-05,0,0,1,0,0,1
Alabama,2020-02-06,0,0,1,0,0,1
Alabama,2020-02-07,0,0,1,0,0,1
Alabama,2020-02-08,0,0,1,0,0,1
Alabama,2020-02-09,0,0,1,0,0,1
Alabama,2020-02-10,0,0,1,0,0,1
Alabama,2020-02-11,0,0,1,0,0,1
Alabama,2020-02-12,0,0,1,0,0,1
Alabama,2020-02-13,0,0,1,0,0,1
Alabama,2020-02-14,0,0,1,0,0,1
Alabama,2020-02-15,0,0,1,0,0,1
Alabama,2020-02-16,0,0,1,0,0,1
Alabama,2020-02-17,0,0,1,0,0,1
Alabama,2020-02-18,0,0,1,0,0,1
Alabama,2020-02-19,1,0,2,0,1,1
Alabama,2020-02-20,1,0,2,0,1,1
Alabama,2020-02-21,1,0,2,0,1,1
Alabama,2020-02-22,1,0,2,0,1,1
Alabama,2020-02-23,1,0,3,0,1,1
Alabama,2020-02-24,1,0,4,0,1,1
Alabama,2020-02-25,2,0,4,0,2,1
Alabama,2020-02-26,2,0,5,0,2,1
Alabama,2020-02-27,2,0,6,0,2,1
Alabama,2020-02-28,3,0,7,0,3,1
Alabama,2020-02-29,4,0,9,1,4,1
Alabama,2020-03-01,5,0,10,1,5,1
Alabama,2020-03-02,6,0,12,3,7,1
Alabama,2020-03-03,8,2,15,4,9,1
Alabama,2020-03-04,10,3,18,5,11,1
Alabama,2020-03-05,12,5,21,6,13,1
Alabama,2020-03-06,15,6,26,8,16,1
Alabama,2020-03-07,19,8,30,11,20,1
Alabama,2020-03-08,23,10,35,14,24,1
Alabama,2020-03-09,27,13,40,18,29,1
Alabama,2020-03-10,33,17,46,27,38,1
Alabama,2020-03-11,38,24,55,29,42,1
Alabama,2020-03-12,45,28,60,35,48,1
Alabama,2020-03-13,52,34,70,43,57,1
Alabama,2020-03-14,59,39,78,49,65,1
Alabama,2020-03-15,68,45,87,56,73,1
Alabama,2020-03-16,77,58,98,67,84,1
Alabama,2020-03-17,86,63,107,78,95,1
Alabama,2020-03-18,95,74,120,86,103,1
Alabama,2020-03-19,105,84,129,91,110,1
Alabama,2020-03-20,114,93,138,103,121,1
Alabama,2020-03-21,123,99,144,109,128,1
Alabama,2020-03-22,131,104,151,123,142,1
Alabama,2020-03-23,136,110,159,123,143,1
Alabama,2020-03-24,143,118,169,131,152,1
Alabama,2020-03-25,151,124,175,139,159,1
Alabama,2020-03-26,160,131,185,148,170,1
Alabama,2020-03-27,170,144,197,160,180,1
Alabama,2020-03-28,182,153,206,169,190,1
Alabama,2020-03-29,190,164,216,181,202,1
Alabama,2020-03-30,200,176,226,186,207,1
Alabama,2020-03-31,206,176,228,197,217,1
Alabama,2020-04-01,211,185,235,202,222,1
Alabama,2020-04-02,214,190,242,203,224,1
Alabama,2020-04-03,218,191,241,207,227,1
Alabama,2020-04-04,219,192,240,209,229,1
Alabama,2020-04-05,216,192,241,205,224,1
Alabama,2020-04-06,213,191,237,203,222,1
Alabama,2020-04-07,206,185,232,192,211,1
Alabama,2020-04-08,201,178,226,188,207,1
Alabama,2020-04-09,197,173,219,184,203,1
Alabama,2020-04-10,194,169,216,181,200,1
Alabama,2020-04-11,192,171,217,180,198,1
Alabama,2020-04-12,191,167,214,181,200,1
Alabama,2020-04-13,193,167,216,179,199,1
Alabama,2020-04-14,195,168,219,187,207,1
Alabama,2020-04-15,199,178,226,190,209,1
Alabama,2020-04-16,202,176,225,192,212,1
Alabama,2020-04-17,205,178,226,192,211,1
Alabama,2020-04-18,206,180,232,196,217,1
Alabama,2020-04-19,208,181,233,196,217,1
Alabama,2020-04-20,208,180,233,194,215,1
Alabama,2020-04-21,210.5,178,237,193,217,1
Alabama,2020-04-22,215,189,246,199,223,0.99
Alabama,2020-04-23,223,192,254,211,233,0.99
Alabama,2020-04-24,231,200,262,215,240,0.99
Alabama,2020-04-25,242,205,270,226,252,0.99
Alabama,2020-04-26,251,217,281,235,261,0.99
Alabama,2020-04-27,260,228,288,244,268,0.98
Alabama,2020-04-28,268,234,295,255,280,0.98
